K_m,cell_line,lamp_onset_cly,onset_lo,onset_hi,C_ly50_abs,aop_ok,aop_robust
50.0,RPTEC,3602.9945537241033,3591.5027948280413,3647.3794444683203,4625.463514644357,True,True
50.0,NRK,1424.8737050933555,1422.8433626624978,1431.6719926231076,1663.7702451865978,True,True
100.0,RPTEC,3434.0734296181568,3410.9591730067696,3503.963916245897,5004.128487077033,True,True
100.0,NRK,1853.7638976349372,1853.763897634936,1860.4242141662398,2441.687455797713,True,True
200.0,RPTEC,3137.570763908249,3087.0545929231753,3266.7062716487976,5306.106716135244,True,True
200.0,NRK,2365.7623965910507,2365.7623965910498,2365.762396591051,3683.235480517258,True,True
500.0,RPTEC,2620.2928073768967,2513.0938302911736,2908.49876548193,5554.816427752145,True,True
500.0,NRK,2973.1098264285924,2973.10982642858,2973.1098264285997,5993.485004890341,True,True
1000.0,RPTEC,2240.1715917196525,2097.698157895494,2665.034790735408,5655.084781625199,True,True
1000.0,NRK,3282.4774802739457,3282.4774802737184,3282.4774802739457,7876.016665206196,True,True
2000.0,RPTEC,1951.7842290426445,1789.9937340378785,2479.222064318627,5709.532599358986,True,True
2000.0,NRK,3467.4418425961585,3467.4418425961094,3467.4418425961585,9453.645208136018,True,True
