K_m,K_m_class,cell_line,C_ly50_abs,C_ly50_hill,n,bottom,ci_cov_lo,ci_cov_hi,ci_boot_lo,ci_boot_hi,sat_decades,sse,n_saturation_flag,n_at_bound,bottom_at_bound,free_bottom,bottom_collapsed_to_zero,ratio_NRK_over_RPTEC
50.0,plausible,RPTEC,4625.463514644357,4625.463514644357,10.08756054024208,0.0,4497.259069338894,4757.322714888922,4494.856336096583,4720.039199918074,0.26884531230565967,1.0285849467156403,True,False,False,False,False,0.3596980583500553
50.0,plausible,NRK,1663.7702451865978,1663.7702451865978,13.50266199563718,2.4455926254153378e-23,1388.384909450134,1993.7781013945062,1599.7684075443528,1707.693344875341,0.12493873664845351,15.630990774446508,True,False,False,True,True,0.3596980583500553
100.0,plausible,RPTEC,5004.128487077033,5004.128487077033,6.702223335081628,0.0,4799.247360504441,5217.756042594109,4884.475425989015,5066.397976100135,0.36797678529921607,0.46943709592212474,False,False,False,False,False,0.4879346048174574
100.0,plausible,NRK,2441.687455797713,2441.687455797713,7.5067325639302425,2.0323405475120945e-22,1795.591681103812,3320.263562445869,2278.3044352881047,2558.570204285028,0.2138798198845905,14.404637750387533,False,False,False,True,True,0.4879346048174574
200.0,plausible,RPTEC,5306.106716135244,5306.106716135244,5.053094690677436,0.0,5023.86712014804,5604.202461904665,5252.854054550728,5342.139365677879,0.45425837180628176,0.12330895833255905,False,False,False,False,False,0.6941502833550207
200.0,plausible,NRK,3683.235480517258,3683.235480517258,4.51661136973205,1.7789476046604576e-17,2292.4126144173915,5917.880367443801,3302.0192187377484,3958.223794147077,0.33579210194461623,12.605264270251858,False,False,False,True,True,0.6941502833550207
500.0,plausible,RPTEC,5554.816427752145,5554.816427752145,4.104221730250317,0.0,5198.013542388922,5936.111034417234,5507.640705248774,5610.512969457567,0.531478917143755,0.04493710327613846,False,False,False,False,False,1.07897085040409
500.0,plausible,NRK,5993.485004890341,5993.485004890341,2.734667965572236,2.9240079827206767e-18,2983.4382700432875,12040.424252962408,5110.268211768165,6586.9107154089315,0.522878745258566,9.804486714455766,False,False,False,True,True,1.07897085040409
1000.0,probe,RPTEC,5655.084781625199,5655.084781625199,3.8019349783765586,0.0,5266.009705409322,6072.906370551998,5563.597325491772,5764.995302373148,0.5642714304765457,0.0947279415370781,False,False,False,False,False,1.392731845647543
1000.0,probe,NRK,7876.016665206196,7876.016665206196,2.141690323924768,1.956143520873615e-18,3469.383665462698,17879.728646941927,6585.713239771613,8680.228677555753,0.6532125136640676,8.001373413080596,False,False,False,True,True,1.392731845647543
2000.0,probe,RPTEC,5709.532599358986,5709.532599358986,3.654838031642367,0.0,5302.584855383497,6147.711614656537,5591.726383345027,5852.369932478936,0.5824644352876379,0.14418086452538284,False,False,False,False,False,1.6557651687981232
2000.0,probe,NRK,9453.645208136018,9453.645208136018,1.8421407458522434,4.602092846522273e-20,3868.465883746518,23102.545145043157,7864.607421030833,10363.078716756532,0.7533276665289101,6.769400444283521,False,False,False,True,True,1.6557651687981232
