K_m,cell_line,lamp_onset_cly,onset_lo,onset_hi,onset_spread,A,h,A_at_bound,weighted
50.0,RPTEC,3602.9945537241033,3591.5027948280413,3647.3794444683203,1.0155580136874025,4999.9999999999945,2.6278787276738034,True,True
50.0,NRK,1424.8737050933555,1422.8433626624978,1431.6719926231076,1.0062049205079673,4999.9999999999945,6.20206852870339,True,False
100.0,RPTEC,3434.0734296181568,3410.9591730067696,3503.963916245897,1.0272664486796375,4999.999999999616,1.7142262653922362,True,True
100.0,NRK,1853.7638976349372,1853.763897634936,1860.4242141662398,1.0035928612806633,2056.9349768858237,3.68044296886065,False,False
200.0,RPTEC,3137.570763908249,3087.0545929231753,3266.7062716487976,1.058195173851949,4999.9999999999945,1.2284098043288594,True,True
200.0,NRK,2365.7623965910507,2365.7623965910498,2365.762396591051,1.0000000000000007,928.0865429244254,2.5899036266007758,False,False
500.0,RPTEC,2620.2928073768967,2513.0938302911736,2908.49876548193,1.1573379117105802,4999.999999999964,0.8943184297367333,True,True
500.0,NRK,2973.1098264285924,2973.10982642858,2973.1098264285997,1.0000000000000067,572.6993955457675,1.9304140171807949,False,False
1000.0,RPTEC,2240.1715917196525,2097.698157895494,2665.034790735408,1.2704567531341553,4999.999999998987,0.7594005174337203,True,True
1000.0,NRK,3282.4774802739457,3282.4774802737184,3282.4774802739457,1.0000000000000693,480.8252245482424,1.7072973688469129,False,False
2000.0,RPTEC,1951.7842290426445,1789.9937340378785,2479.222064318627,1.3850451077982173,4999.999999999657,0.6812153610214979,True,True
2000.0,NRK,3467.4418425961585,3467.4418425961094,3467.4418425961585,1.0000000000000142,438.67477206286,1.5940384241614278,False,False
